channel,roi_id,time_s,time_index,theta_deg,velocity
0,1,0.2978341386911681,960.0,117.25,-8.506365411513462
0,1,0.3027980410026876,976.0,114.5,-7.5268336397639795
0,1,0.3077619433142071,992.0,118.75,-9.061058669446892
0,1,0.3127258456257266,1008.0,118.75,-9.061058669446892
0,1,0.317689747937246,1024.0,117.25,-8.506365411513462
0,1,0.3226536502487654,1040.0,121.0,-9.923891514261642
0,1,0.3276175525602849,1056.0,119.5,-9.34437620748833
0,1,0.3325814548718044,1072.0,127.25,-12.559156355302871
0,1,0.3375453571833239,1088.0,122.25,-10.420901349314994
0,1,0.3425092594948433,1104.0,125.25,-11.672445969412935
0,1,0.3474731618063628,1120.0,117.75,-8.689555843997468
0,1,0.3524370641178823,1136.0,117.25,-8.506365411513462
0,1,0.3574009664294018,1152.0,115.75,-7.966434945116004
0,1,0.3623648687409212,1168.0,113.75,-7.267270703761893
0,1,0.3673287710524407,1184.0,118.75,-9.061058669446892
0,1,0.3722926733639602,1200.0,122.25,-10.420901349314994
0,1,0.3772565756754796,1216.0,130.5,-14.10610680507403
0,1,0.3822204779869991,1232.0,128.75,-13.255594969543342
0,1,0.3871843802985186,1248.0,122.5,-10.52193463011086
0,1,0.3921482826100381,1264.0,121.0,-9.923891514261642
0,1,0.3971121849215575,1280.0,123.5,-10.931787333296583
0,1,0.402076087233077,1296.0,129.0,-13.37449758051108
0,1,0.4070399895445964,1312.0,112.75,-6.925787693557871
0,1,0.4120038918561159,1328.0,115.5,-7.877789443272836
0,1,0.4169677941676354,1344.0,112.75,-6.925787693557871
0,1,0.4219316964791548,1360.0,112.0,-6.672949278309689
0,1,0.4268955987906743,1376.0,110.25,-6.093121686459079
0,1,0.4318595011021938,1392.0,118.25,-8.874436246947617
0,1,0.4368234034137133,1408.0,110.0,-6.011379353041795
0,1,0.4417873057252327,1424.0,111.0,-6.339947933488159
0,1,0.4467512080367522,1440.0,111.25,-6.422771313184861
0,1,0.4517151103482717,1456.0,112.75,-6.925787693557871
0,1,0.4566790126597911,1472.0,118.25,-8.874436246947617
0,1,0.4616429149713106,1488.0,121.25,-10.022233126228164
0,1,0.4666068172828301,1504.0,117.25,-8.506365411513462
0,1,0.4715707195943496,1520.0,119.0,-9.155039817542509
0,1,0.476534621905869,1536.0,132.0,-14.871189376790134
0,1,0.4814985242173885,1552.0,119.0,-9.155039817542509
0,1,0.486462426528908,1568.0,130.75,-14.231207250827303
0,1,0.4914263288404275,1584.0,124.0,-11.140269697526527
0,1,0.4963902311519469,1600.0,124.5,-11.351220993678252
0,1,0.5013541334634664,1616.0,126.75,-12.33317851307308
0,1,0.5063180357749859,1632.0,119.0,-9.155039817542509
0,1,0.5112819380865053,1648.0,114.75,-7.614039773767324
0,1,0.5162458403980248,1664.0,120.5,-9.728743497010395
0,1,0.5212097427095442,1680.0,117.25,-8.506365411513462
